epoch,train_heatmaps,train_total,val_heatmaps,val_total
1,0.1396559261613422,0.1396559261613422,0.1000001182158788,0.1000001182158788
2,0.10805159476068285,0.10805159476068285,0.10956816871960957,0.10956816871960957
3,0.09180920322736104,0.09180920322736104,0.10925318797429402,0.10925318797429402
4,0.08378580543729994,0.08378580543729994,0.11132095754146576,0.11132095754146576
5,0.0794801844490899,0.0794801844490899,0.10664180914560954,0.10664180914560954
6,0.07655531499120924,0.07655531499120924,0.10948514938354492,0.10948514938354492
7,0.07376042173968421,0.07376042173968421,0.10426771144072215,0.10426771144072215
8,0.07151748239994049,0.07151748239994049,0.10994287331899007,0.10994287331899007
9,0.06945661041471693,0.06945661041471693,0.10669185221195221,0.10669185221195221
10,0.06816726591851976,0.06816726591851976,0.10632143914699554,0.10632143914699554
11,0.06529933048619165,0.06529933048619165,0.10855816304683685,0.10855816304683685
12,0.0647233095433977,0.0647233095433977,0.11061396698156993,0.11061396698156993
13,0.06297465993298425,0.06297465993298425,0.10591354469458263,0.10591354469458263
14,0.06097782486014896,0.06097782486014896,0.10584332545598348,0.10584332545598348
15,0.06042824685573578,0.06042824685573578,0.10858931144078572,0.10858931144078572
16,0.05911077227857378,0.05911077227857378,0.11211775739987691,0.11211775739987691
17,0.05743416315979428,0.05743416315979428,0.11207623779773712,0.11207623779773712
18,0.056183291806115046,0.056183291806115046,0.11109846830368042,0.11109846830368042
19,0.05497750639915466,0.05497750639915466,0.10794323186079662,0.10794323186079662
20,0.05449450512727102,0.05449450512727102,0.11023276547590892,0.11023276547590892
21,0.053252145648002625,0.053252145648002625,0.109188511967659,0.109188511967659
22,0.05339746673901876,0.05339746673901876,0.11125877499580383,0.11125877499580383
23,0.051451030704710216,0.051451030704710216,0.11317765216032664,0.11317765216032664
24,0.05032650464110904,0.05032650464110904,0.11384233335653941,0.11384233335653941
25,0.050215048922432795,0.050215048922432795,0.11297120153903961,0.11297120153903961
26,0.050173779328664146,0.050173779328664146,0.11207991341749828,0.11207991341749828
27,0.04812024864885542,0.04812024864885542,0.11232131222883861,0.11232131222883861
28,0.04803311493661669,0.04803311493661669,0.11324988305568695,0.11324988305568695
29,0.04791613585419125,0.04791613585419125,0.1164052685101827,0.1164052685101827
30,0.04755368663205041,0.04755368663205041,0.11657482882340749,0.11657482882340749
31,0.04756118357181549,0.04756118357181549,0.11551541090011597,0.11551541090011597
32,0.04639742771784464,0.04639742771784464,0.11454326907793681,0.11454326907793681
33,0.04636506736278534,0.04636506736278534,0.11544415851434071,0.11544415851434071
34,0.04672360254658593,0.04672360254658593,0.1159583826859792,0.1159583826859792
35,0.04544300172064039,0.04544300172064039,0.11600996553897858,0.11600996553897858
36,0.04577092660797967,0.04577092660797967,0.11744481821854909,0.11744481821854909
37,0.0447614441315333,0.0447614441315333,0.11688300967216492,0.11688300967216492
38,0.04481163455380334,0.04481163455380334,0.11689506967862447,0.11689506967862447
39,0.044391734732521906,0.044391734732521906,0.11623745659987132,0.11623745659987132
40,0.04386755658520593,0.04386755658520593,0.11704648534456889,0.11704648534456889
