epoch,train_total,train_heatmaps,val_total,val_heatmaps
1,0.135073918562669,0.135073918562669,0.17561416029930116,0.17561416029930116
2,0.09243165835356101,0.09243165835356101,0.1760968565940857,0.1760968565940857
3,0.08070812622706096,0.08070812622706096,0.15749868154525756,0.15749868154525756
4,0.07518595304244603,0.07518595304244603,0.1472574532032013,0.1472574532032013
5,0.07229926952948937,0.07229926952948937,0.1397372305393219,0.1397372305393219
6,0.06941628761780567,0.06941628761780567,0.1374853730201721,0.1374853730201721
7,0.06808586762501644,0.06808586762501644,0.1282789707183838,0.1282789707183838
8,0.06564210011408879,0.06564210011408879,0.12787526845932007,0.12787526845932007
9,0.06411423744299473,0.06411423744299473,0.12408065199851989,0.12408065199851989
10,0.06300573776929806,0.06300573776929806,0.12166304588317871,0.12166304588317871
11,0.06073772601592235,0.06073772601592235,0.11956120133399964,0.11956120133399964
12,0.06030192283483652,0.06030192283483652,0.11856300234794617,0.11856300234794617
13,0.05947306981453529,0.05947306981453529,0.11770161986351013,0.11770161986351013
14,0.0579411356877058,0.0579411356877058,0.11621788740158082,0.11621788740158082
15,0.05664361440218412,0.05664361440218412,0.11474465131759644,0.11474465131759644
16,0.055142158117049776,0.055142158117049776,0.11284865140914917,0.11284865140914917
17,0.05424639200552916,0.05424639200552916,0.1144099473953247,0.1144099473953247
18,0.05323215020008576,0.05323215020008576,0.11247503757476807,0.11247503757476807
19,0.05214544442983774,0.05214544442983774,0.11419807076454162,0.11419807076454162
20,0.05181589187719883,0.05181589187719883,0.1134899914264679,0.1134899914264679
21,0.05105063701287294,0.05105063701287294,0.1144943118095398,0.1144943118095398
22,0.049993608242426164,0.049993608242426164,0.11244300603866578,0.11244300603866578
23,0.049521996424748346,0.049521996424748346,0.11165659427642823,0.11165659427642823
24,0.04859059132062472,0.04859059132062472,0.1114373505115509,0.1114373505115509
25,0.047564394963093296,0.047564394963093296,0.11037800908088684,0.11037800908088684
26,0.047522951395083696,0.047522951395083696,0.1104443371295929,0.1104443371295929
27,0.04703587293624878,0.04703587293624878,0.11089649200439453,0.11089649200439453
28,0.04665783429757143,0.04665783429757143,0.10751673579216003,0.10751673579216003
29,0.04575854234206371,0.04575854234206371,0.1080773115158081,0.1080773115158081
30,0.04528385859269362,0.04528385859269362,0.1074375867843628,0.1074375867843628
31,0.04475327485646957,0.04475327485646957,0.10652070641517639,0.10652070641517639
32,0.04443290141912607,0.04443290141912607,0.10613310933113099,0.10613310933113099
33,0.04428742176447159,0.04428742176447159,0.10826691389083862,0.10826691389083862
34,0.04383360116909712,0.04383360116909712,0.10695661306381225,0.10695661306381225
35,0.043749639621147744,0.043749639621147744,0.10609879493713378,0.10609879493713378
36,0.04340564134793404,0.04340564134793404,0.10512791872024536,0.10512791872024536
37,0.04306353819675934,0.04306353819675934,0.10534623861312867,0.10534623861312867
38,0.04219669867784549,0.04219669867784549,0.10716677904129028,0.10716677904129028
39,0.042444094633444764,0.042444094633444764,0.10480267405509949,0.10480267405509949
40,0.04169235626856486,0.04169235626856486,0.10462564826011658,0.10462564826011658
