epoch,train_vector_3d,train_total,train_heatmaps,val_vector_3d,val_total,val_heatmaps
1,0.19468100517988204,1.1809798130989075,0.9862988073825836,0.19008063316345214,1.1785000228881837,0.9884193933010101
2,0.1856736279129982,1.171879219055176,0.9862055902481079,0.18342765003442765,1.171899962425232,0.9884723138809204
3,0.16107906404137612,1.1473759326934814,0.9862968688011169,0.14065815389156341,1.128877077102661,0.9882189190387726
4,0.12567297133803368,1.1118576273918153,0.9861846568584443,0.12477508217096328,1.1132541131973266,0.9884790241718292
5,0.10416356810927391,1.090362298488617,0.9861987316608429,0.09213516399264336,1.0805441284179687,0.9884089589118957
6,0.08650762620568275,1.0727143330574036,0.9862067036628723,0.07988767012953758,1.0683657145500183,0.9884780430793763
7,0.07659602349996567,1.0628197164535522,0.9862236938476563,0.07464681424200535,1.063187062740326,0.9885402536392212
8,0.06850302147865295,1.0546522107124328,0.98614919257164,0.06570862628519535,1.0539609861373902,0.9882523667812347
9,0.06407304273545741,1.0501137504577636,0.9860407056808471,0.06077901721000671,1.0489546418190003,0.9881756186485291
10,0.059688254624605176,1.0457352108955382,0.986046953201294,0.058213028311729434,1.046466929912567,0.9882539093494416
11,0.05594579768180847,1.041576117515564,0.9856303236484527,0.05331896610558033,1.0408789467811586,0.9875599765777587
12,0.05310718637704849,1.0373218264579773,0.9842146365642548,0.05191402167081833,1.0354744100570679,0.9835603880882263
13,0.05198957818746567,1.0044332475662232,0.9524436690807343,0.05250619873404503,0.9859490180015564,0.9334428203105927
14,0.05291718059778214,0.9527031035423279,0.8997859227657318,0.05294594027101993,0.9505178487300873,0.8975719094276429
15,0.0497489404976368,0.935187129497528,0.8854381868839264,0.047300469130277634,0.9372287440299988,0.8899282741546631
16,0.04738581483066082,0.9283393323421478,0.8809535171985626,0.04615921519696713,0.9298059403896332,0.8836467278003692
17,0.04549141970276833,0.920951031446457,0.8754596128463745,0.043891880735754965,0.9223334550857544,0.8784415769577026
18,0.04458825051784515,0.9007270300388336,0.8561387803554535,0.04470848955214023,0.8944149827957153,0.8497064960002899
19,0.04494010916352272,0.8651873033046722,0.8202471950054169,0.044802723079919816,0.8615045845508575,0.8167018640041351
20,0.04489325105398893,0.8434371259212494,0.798543874502182,0.042552807480096815,0.844806798696518,0.802253988981247
21,0.043756890311837195,0.825292721748352,0.7815358307361603,0.045357712656259534,0.8319707322120666,0.7866130208969117
22,0.04341916693747044,0.8004253125190735,0.757006145477295,0.04236196607351303,0.8019235408306122,0.7595615756511688
23,0.042496317490935326,0.7584782781600952,0.7159819593429565,0.04159951403737068,0.7472009217739105,0.7056014108657837
24,0.04166617465019226,0.7221374788284302,0.6804713037014007,0.041515671163797375,0.717593468427658,0.6760777926445007
25,0.04111995160579682,0.6925431325435638,0.6514231805801391,0.04096374869346619,0.7054559969902039,0.6644922518730163
26,0.04024328452348709,0.671767690896988,0.6315244076251983,0.03842591725289821,0.7041735291481018,0.6657476103305817
27,0.038878528393805026,0.6554909195899964,0.6166123919487,0.0378587033227086,0.6766093826293945,0.6387506818771362
28,0.03825997296720743,0.6426636908054352,0.60440371799469,0.037780863642692564,0.6506649577617645,0.6128840923309327
29,0.03660379768908024,0.626250913143158,0.5896471135616302,0.035226300098001956,0.6383106195926667,0.6030843198299408
