epoch,train_vector_2d,train_vector_3d,train_total,val_vector_2d,val_vector_3d,val_total
1,0.03872193840146065,0.19910206818580628,0.5863214526176452,0.03518622692674398,0.1852312797307968,0.5370935463905334
2,0.038379268124699585,0.18527769696712493,0.5690703778266907,0.03437626671046018,0.1854700830578804,0.529232748746872
3,0.03765226925164461,0.1822546756267548,0.5587773668766022,0.032001774087548264,0.17726755261421204,0.4972852927446365
4,0.03037005677074194,0.16470407593250275,0.4684046442508698,0.024028095528483392,0.14480916827917098,0.3850901228189468
5,0.01908859096467495,0.12039638957381248,0.3112822996377945,0.01447836957871914,0.10519972220063208,0.2499834153056145
6,0.013875508319586515,0.08972112405300141,0.22847620725631715,0.011692318879067898,0.08125650018453598,0.19817968875169756
7,0.011718900922685859,0.07529992569983006,0.19248893505334852,0.010438056401908398,0.07260760247707368,0.17698816746473311
8,0.010325959481298923,0.06729028308391571,0.17054987871646882,0.008876161258667708,0.06636353842914104,0.15512515157461165
9,0.009048353159800172,0.06167924518883229,0.15216277688741686,0.007519531780853867,0.05757112346589565,0.1327664403617382
10,0.00789686943218112,0.057619119033217425,0.136587813436985,0.006510174637660384,0.053349826857447616,0.11845157220959665
11,0.007107885556295514,0.05480690303444862,0.12588575905561447,0.00605918194167316,0.05254238396883011,0.11313420340418814
12,0.006550023498013616,0.05233280743658543,0.1178330426812172,0.005696381218731403,0.04904276609420776,0.10600657805800437
13,0.006207771336659789,0.050076736196875575,0.1121544492840767,0.005473144762217999,0.047984798848629,0.1027162465453148
14,0.005793053029105068,0.047484589144587516,0.10541511967778204,0.0050506730657070885,0.04489611074328423,0.09540284171700478
15,0.0055515099288895725,0.04604926909506321,0.10156436842679978,0.0049925155797973285,0.04397165410220623,0.0938968101143837
16,0.005486100994050503,0.045578374341130254,0.100439384162426,0.004746059589087964,0.04391329541802407,0.09137389078736304
17,0.005142261455766857,0.04315633445978165,0.0945789488852024,0.00465798064135015,0.04235720939934254,0.08893701538443566
